Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
41,1102,Sales,Life Sciences,Female,Single,19479,Yes,1947.9
49,279,Research & Development,Life Sciences,Male,Married,24907,No,2490.7000000000003
37,1373,Research & Development,Other,Male,Single,2396,Yes,239.60000000000002
33,1392,Research & Development,Life Sciences,Female,Married,23159,Yes,2315.9
27,591,Research & Development,Medical,Male,Married,16632,No,1663.2
32,1005,Research & Development,Life Sciences,Male,Single,11864,No,1186.4
59,1324,Research & Development,Medical,Female,Married,9964,Yes,996.4000000000001
30,1358,Research & Development,Life Sciences,Male,Divorced,13335,No,1333.5
38,216,Research & Development,Life Sciences,Male,Single,8787,No,878.7
36,1299,Research & Development,Medical,Male,Married,16577,No,1657.7
35,809,Research & Development,Medical,Male,Married,16479,No,1647.9
29,153,Research & Development,Life Sciences,Female,Single,12682,Yes,1268.2
31,670,Research & Development,Life Sciences,Male,Divorced,15170,No,1517.0
34,1346,Research & Development,Medical,Male,Divorced,8758,No,875.8000000000001
28,103,Research & Development,Life Sciences,Male,Single,12947,Yes,1294.7
29,1389,Research & Development,Life Sciences,Female,Divorced,10195,No,1019.5
32,334,Research & Development,Life Sciences,Male,Divorced,15053,Yes,1505.3000000000002
22,1123,Research & Development,Medical,Male,Divorced,7324,Yes,732.4000000000001
53,1219,Sales,Life Sciences,Female,Married,22021,No,2202.1
38,371,Research & Development,Life Sciences,Male,Single,4306,Yes,430.6
24,673,Research & Development,Other,Female,Divorced,8232,No,823.2
36,1218,Sales,Life Sciences,Male,Single,6986,No,698.6
34,419,Research & Development,Life Sciences,Female,Single,21293,No,2129.3
21,391,Research & Development,Life Sciences,Male,Single,19281,No,1928.1000000000001
34,699,Research & Development,Medical,Male,Single,17102,No,1710.2
53,1282,Research & Development,Other,Female,Divorced,10735,No,1073.5
32,1125,Research & Development,Life Sciences,Female,Single,4681,Yes,468.1
42,691,Sales,Marketing,Male,Married,21173,No,2117.3
44,477,Research & Development,Medical,Female,Married,2094,No,209.4
46,705,Sales,Marketing,Female,Single,22822,No,2282.2000000000003
33,924,Research & Development,Medical,Male,Single,6670,No,667.0
44,1459,Research & Development,Other,Male,Married,19121,Yes,1912.1000000000001
30,125,Research & Development,Medical,Male,Single,16117,No,1611.7
39,895,Sales,Technical Degree,Male,Married,3335,No,333.5
24,813,Research & Development,Medical,Male,Married,3020,Yes,302.0
43,1273,Research & Development,Medical,Female,Divorced,21923,No,2192.3
50,869,Sales,Marketing,Male,Married,3810,Yes,381.0
35,890,Sales,Marketing,Female,Married,9687,No,968.7
36,852,Research & Development,Life Sciences,Female,Married,13072,Yes,1307.2
33,1141,Sales,Life Sciences,Female,Married,3193,No,319.3
35,464,Research & Development,Other,Male,Divorced,10910,No,1091.0
27,1240,Research & Development,Life Sciences,Female,Divorced,19715,No,1971.5
26,1357,Research & Development,Life Sciences,Male,Single,10558,No,1055.8
27,994,Sales,Life Sciences,Male,Single,2975,No,297.5
30,721,Research & Development,Medical,Female,Single,10781,No,1078.1000000000001
41,1360,Research & Development,Technical Degree,Female,Married,16280,No,1628.0
34,1065,Sales,Marketing,Male,Single,10034,No,1003.4000000000001
37,408,Research & Development,Life Sciences,Male,Married,10227,No,1022.7
46,1211,Sales,Marketing,Male,Single,20445,Yes,2044.5
35,1229,Research & Development,Life Sciences,Male,Married,4892,No,489.20000000000005
48,626,Research & Development,Life Sciences,Male,Single,19294,Yes,1929.4
28,1434,Research & Development,Technical Degree,Male,Single,11179,Yes,1117.9
44,1488,Sales,Marketing,Female,Divorced,4009,Yes,400.90000000000003
35,1097,Research & Development,Medical,Male,Married,8302,Yes,830.2
26,1443,Sales,Marketing,Female,Married,21436,Yes,2143.6
33,515,Research & Development,Life Sciences,Female,Single,15146,Yes,1514.6000000000001
35,853,Sales,Life Sciences,Male,Married,11031,No,1103.1000000000001
35,1142,Research & Development,Medical,Female,Married,16002,Yes,1600.2
31,655,Research & Development,Life Sciences,Male,Divorced,9528,No,952.8000000000001
37,1115,Research & Development,Life Sciences,Male,Divorced,2689,No,268.90000000000003
32,427,Research & Development,Medical,Male,Married,10877,Yes,1087.7
38,653,Research & Development,Life Sciences,Female,Single,5456,No,545.6
50,989,Research & Development,Medical,Female,Divorced,16701,Yes,1670.1000000000001
59,1435,Sales,Life Sciences,Female,Single,2354,No,235.4
36,1223,Research & Development,Technical Degree,Female,Divorced,8202,No,820.2
55,836,Research & Development,Medical,Female,Divorced,19730,Yes,1973.0
36,1195,Research & Development,Life Sciences,Male,Single,22656,No,2265.6
45,1339,Research & Development,Life Sciences,Male,Divorced,18787,No,1878.7
35,664,Research & Development,Medical,Male,Married,5868,No,586.8000000000001
36,318,Research & Development,Medical,Male,Married,21777,Yes,2177.7000000000003
59,1225,Sales,Life Sciences,Female,Single,24668,No,2466.8
29,1328,Research & Development,Life Sciences,Male,Married,4956,No,495.6
31,1082,Research & Development,Medical,Male,Single,18775,No,1877.5
32,548,Research & Development,Life Sciences,Male,Married,7346,No,734.6
36,132,Research & Development,Life Sciences,Female,Married,22002,No,2200.2000000000003
31,746,Research & Development,Life Sciences,Female,Single,20682,No,2068.2000000000003
35,776,Sales,Marketing,Male,Single,23016,No,2301.6
45,193,Research & Development,Other,Male,Married,15067,Yes,1506.7
37,397,Research & Development,Medical,Male,Single,25258,No,2525.8
46,945,Human Resources,Medical,Male,Divorced,10425,Yes,1042.5
30,852,Research & Development,Life Sciences,Male,Married,15998,Yes,1599.8000000000002
35,1214,Research & Development,Medical,Male,Single,26278,No,2627.8
55,111,Sales,Life Sciences,Male,Married,18092,No,1809.2
38,573,Research & Development,Medical,Female,Divorced,15717,Yes,1571.7
34,1153,Research & Development,Medical,Male,Married,17736,No,1773.6000000000001
56,1400,Research & Development,Life Sciences,Male,Single,21698,No,2169.8
23,541,Sales,Technical Degree,Male,Divorced,9518,No,951.8000000000001
51,432,Research & Development,Life Sciences,Male,Married,18725,No,1872.5
30,288,Research & Development,Life Sciences,Male,Married,15830,No,1583.0
46,669,Sales,Medical,Male,Single,13596,No,1359.6000000000001
40,530,Research & Development,Life Sciences,Male,Married,14115,No,1411.5
51,632,Sales,Marketing,Male,Single,8423,Yes,842.3000000000001
30,1334,Sales,Medical,Female,Divorced,19760,Yes,1976.0
46,638,Research & Development,Medical,Male,Married,3142,Yes,314.20000000000005
32,1093,Sales,Medical,Male,Single,24301,No,2430.1
54,1217,Research & Development,Technical Degree,Female,Married,24001,No,2400.1
24,1353,Sales,Other,Female,Married,17519,No,1751.9
28,120,Sales,Medical,Male,Married,8863,No,886.3000000000001
58,682,Sales,Medical,Male,Single,24409,No,2440.9
44,489,Research & Development,Medical,Male,Married,25043,No,2504.3
37,807,Human Resources,Human Resources,Male,Divorced,23648,Yes,2364.8
32,827,Research & Development,Life Sciences,Male,Single,15178,No,1517.8000000000002
20,871,Research & Development,Life Sciences,Female,Single,19783,Yes,1978.3000000000002
34,665,Research & Development,Other,Female,Single,12482,No,1248.2
37,1040,Research & Development,Life Sciences,Male,Divorced,15850,No,1585.0
59,1420,Human Resources,Human Resources,Female,Married,21922,No,2192.2000000000003
50,1115,Research & Development,Life Sciences,Female,Married,9755,Yes,975.5
25,240,Sales,Marketing,Male,Single,26959,Yes,2695.9
25,1280,Research & Development,Medical,Male,Married,26897,No,2689.7000000000003
22,534,Research & Development,Medical,Female,Single,23785,No,2378.5
51,1456,Research & Development,Medical,Female,Single,25796,No,2579.6000000000004
34,658,Research & Development,Life Sciences,Male,Single,22887,Yes,2288.7000000000003
54,142,Human Resources,Human Resources,Female,Single,13871,Yes,1387.1000000000001
24,1127,Research & Development,Life Sciences,Male,Married,13257,No,1325.7
34,1031,Research & Development,Life Sciences,Female,Divorced,15000,No,1500.0
37,1189,Sales,Life Sciences,Male,Single,14506,No,1450.6000000000001
34,1354,Research & Development,Medical,Female,Single,5615,No,561.5
36,1467,Sales,Technical Degree,Female,Married,22952,No,2295.2000000000003
36,922,Research & Development,Life Sciences,Female,Divorced,2561,No,256.1
43,394,Sales,Life Sciences,Male,Married,19494,Yes,1949.4
30,1312,Research & Development,Life Sciences,Male,Divorced,22310,No,2231.0
33,750,Sales,Marketing,Male,Married,15480,No,1548.0
56,441,Research & Development,Life Sciences,Female,Married,4510,Yes,451.0
51,684,Research & Development,Life Sciences,Male,Single,6462,No,646.2
31,249,Sales,Life Sciences,Male,Married,20739,Yes,2073.9
26,841,Research & Development,Other,Female,Married,23300,No,2330.0
58,147,Research & Development,Medical,Female,Married,3465,No,346.5
19,528,Sales,Marketing,Male,Single,26820,Yes,2682.0
22,594,Research & Development,Technical Degree,Male,Married,19299,No,1929.9
49,470,Research & Development,Medical,Female,Married,5549,No,554.9
43,957,Research & Development,Medical,Female,Single,16090,No,1609.0
50,809,Sales,Marketing,Female,Single,6645,No,664.5
31,542,Sales,Life Sciences,Female,Married,24788,Yes,2478.8
41,802,Sales,Life Sciences,Male,Divorced,21196,Yes,2119.6
26,1355,Human Resources,Life Sciences,Female,Married,8916,No,891.6
36,216,Research & Development,Medical,Male,Divorced,2819,No,281.90000000000003
51,1150,Research & Development,Life Sciences,Male,Single,25150,No,2515.0
39,1329,Sales,Life Sciences,Female,Married,14590,No,1459.0
25,959,Sales,Life Sciences,Male,Married,24835,No,2483.5
30,1240,Human Resources,Human Resources,Male,Married,13982,Yes,1398.2
32,1033,Research & Development,Medical,Female,Single,10224,No,1022.4000000000001
45,1316,Research & Development,Medical,Male,Single,9752,No,975.2
38,364,Research & Development,Technical Degree,Female,Single,2302,Yes,230.20000000000002
30,438,Research & Development,Life Sciences,Female,Single,23910,No,2391.0
32,689,Sales,Medical,Male,Divorced,22812,No,2281.2000000000003
30,201,Research & Development,Technical Degree,Female,Divorced,10415,No,1041.5
30,1427,Research & Development,Medical,Male,Single,11162,No,1116.2
41,857,Research & Development,Life Sciences,Male,Divorced,12888,No,1288.8000000000002
41,933,Research & Development,Life Sciences,Male,Married,6961,No,696.1
19,1181,Research & Development,Medical,Female,Single,16102,No,1610.2
